管理 Wine、D3DMetal 和诊断信息	Manage Wine, D3DMetal, and diagnostics
让 Windows 游戏在 Mac 上运行	Run Windows games on your Mac
环境检查未通过，请查看高级设置	Environment check failed. See Advanced Settings.
已检测到 %@ · Rosetta 2 已就绪	Detected %@ · Rosetta 2 ready
准备游戏环境	Prepare the game environment
安装 Windows 版 Steam	Install Windows Steam
从 Steam 安装第一个游戏	Install your first Steam game
你的游戏已经准备好	Your games are ready
Mac Gaming Uncle 会自动下载并验证运行游戏所需的开源兼容组件。\n不会安装 Windows，也不会修改系统安全设置。	Mac Gaming Uncle downloads and verifies the open-source compatibility components needed to run your games.\nIt does not install Windows or change system security settings.
环境已经准备完成。接下来 Mac Gaming Uncle 会从 Valve 官方地址下载并打开 Steam 安装程序，你只需完成安装。	Your environment is ready. Mac Gaming Uncle will download and open the official Steam installer from Valve.
打开 Steam，登录你的账户，在“游戏库”中选择一款 Windows 游戏并点击“安装”。安装完成后回到 Mac Gaming Uncle 扫描游戏。	Open Steam, sign in, select a Windows game in Library and choose Install. Return to Mac Gaming Uncle to scan your games.
已发现 %@ 个 Steam 游戏。你可以从游戏库直接启动，Mac Gaming Uncle 会自动选择合适的图形兼容方案。	Found %@ Steam games. Launch them from Library and Mac Gaming Uncle will select a suitable graphics backend.
一键准备环境	Prepare Environment
安装 Steam	Install Steam
打开 Steam 安装游戏	Install Games in Steam
前往游戏库	Go to Library
下载并验证 Wine 游戏运行环境	Download and verify the Wine runtime
从 Valve 官方地址下载并打开 Steam 安装程序	Download and open Valve's official Steam installer
打开 Windows 版 Steam，以便登录并安装游戏	Open Windows Steam to sign in and install games
查看已经安装的 Steam 和本地游戏	View installed Steam and local games
首次下载约 190 MB · 大约 3–8 分钟	Initial download required · Duration depends on your connection
下载后会出现 Steam 安装窗口	The Steam installer opens after downloading
游戏安装由 Steam 完成	Steam handles game installation
环境、Steam 与游戏均已就绪	Environment, Steam, and games are ready
准备环境	Prepare Environment
选择游戏	Choose a Game
设置进度，第 %@ 步，共 3 步	Setup progress: step %@ of 3
了解详情	Learn More
接下来：安装并登录 Steam	Next: install and sign in to Steam
安装完成后：登录 Steam	After installation: sign in to Steam
在 Steam 中选择并安装游戏	Choose and install a game in Steam
现在可以开始游戏	Ready to play
环境准备完成后，Mac Gaming Uncle 将为你打开官方 Steam 安装程序。	Once the environment is ready, Mac Gaming Uncle opens the official Steam installer.
Mac Gaming Uncle 不会读取或保存你的 Steam 账户和密码。	Mac Gaming Uncle does not read or store your Steam credentials.
安装完成后返回 Mac Gaming Uncle，游戏会自动出现在游戏库。	Return after installation. Your game will appear in Library automatically.
需要更换图形兼容方案时，可在高级设置中调整。	Use Advanced Settings to manage graphics compatibility components.
从 Steam 安装游戏，或直接导入本地 Windows 程序。	Install games through Steam or import a local Windows executable.
扫描 Steam	Scan Steam
导入本地游戏	Import Local Game
还没有安装游戏	No games installed yet
Steam 游戏	Steam Games
未知	Unknown
需要 GPTK 4	GPTK 4 required
 · 已自定义	 · Custom settings
Steam 游戏 · 版本 %@ · %@%@	Steam game · Build %@ · %@%@
智能启动	Smart Launch
升级 GPTK 4	Upgrade to GPTK 4
设置	Settings
配置 %@	Configure %@
游戏设置	Game Settings
通过 Steam 启动	Launch via Steam
本地游戏	Local Games
反作弊不兼容	Incompatible anti-cheat
运行	Run
请先回到“开始”页面，一键准备游戏环境。	Go to Game Environment to prepare the runtime first.
环境已经就绪，下一步安装 Windows 版 Steam。	Your environment is ready. Install Windows Steam next.
打开 Steam 登录后，选择游戏并点击安装。完成后回到这里扫描游戏库。	Sign in to Steam and install a game, then return here to scan your library.
返回开始	Back to Setup
导入	Import
32 位 Intel	32-bit Intel
64 位 Intel	64-bit Intel
64 位 ARM	64-bit ARM
未知架构	Unknown architecture
未检测到 DirectX	DirectX not detected
Steam 已保持登录 · 已快速复用 %@ 次	Steam session retained · Reused %@ times
Steam 已保持登录	Steam session retained
管理兼容组件与查看诊断信息	Manage compatibility components and diagnostics
完成	Done
环境诊断	Diagnostics
偏好设置	Preferences
Wine 运行环境	Wine Runtime
Mac Gaming Uncle 自行从 LGPL 源码构建 Wine 11 新 WoW64 运行时；不封装或分发 CrossOver 应用。	Mac Gaming Uncle builds its Wine 11 WoW64 runtime from LGPL source. It does not bundle the CrossOver app.
已安装	Installed
自动安装最新版本	Install Latest Version
导入本地 Wine	Import Local Wine
Apple 官方 GPTK 中的 DirectX 11/12 图形转换组件，适合现代 DX12 游戏。	Apple's DirectX 11/12 graphics translation component from GPTK, suitable for modern DX12 games.
Apple 签名已验证	Apple signature verified
完整 GPTK 运行时 %@	Full GPTK runtime %@
需要升级到 GPTK 4	Upgrade to GPTK 4 required
可用于游戏	Ready for games
取消等待	Cancel
一键安装 GPTK 4	Install GPTK 4
导入 GPTK 镜像	Import GPTK Image
开源图形组件	Open-source Graphics
DXMT 用于 DirectX 10/11；DXVK 与 VKD3D 作为兼容回退或实验路径。	DXMT supports DirectX 10/11. DXVK and VKD3D provide fallback or experimental paths.
已导入	Imported
导入 DXMT	Import DXMT
导入 DXVK	Import DXVK
导入 VKD3D	Import VKD3D
这台 Mac	This Mac
重新检查	Check Again
更新通道	Update Channel
稳定版	Stable
候选版	Release Candidate
实验版	Experimental
启动游戏时显示 Apple Metal HUD	Show Apple Metal HUD when launching games
D3DMetal 游戏会在同一个 Mac Gaming Uncle Wine 11 + Steam 会话中显示 Apple 官方 FPS、GPU 时间、内存和帧间隔；非 D3DMetal 兼容回退不会显示该 HUD。	Display Apple's FPS, GPU time, memory, and frame pacing overlay in the game session. HUD availability depends on the graphics backend.
优先使用 Metal 4	Prefer Metal 4
GPTK 4 会在支持的 Apple GPU 与 macOS 上使用新的 Metal 4 提交路径；遇到个别游戏异常时可关闭并回退。	GPTK 4 uses Metal 4 on supported Apple GPUs and macOS versions. Disable it if a game has issues.
使用 MetalFX 兼容游戏的 DLSS	Use MetalFX for compatible DLSS games
需要 GPTK 4/D3DMetal，且仍需在游戏画面设置中开启 DLSS。Apple GPU 实际执行的是 MetalFX。	Requires GPTK 4/D3DMetal and DLSS enabled in the game's graphics settings. The Apple GPU uses MetalFX.
Mac Gaming Uncle 不收集遥测数据。兼容配方来自可审计的 Git 仓库。	Mac Gaming Uncle collects no telemetry. Compatibility recipes come from an auditable Git repository.
未检测到已连接手柄	No connected controllers detected
已连接 %@ 个手柄	%@ controller(s) connected
连接、检查并管理用于 Windows 游戏的控制器。	Connect, inspect, and manage controllers for Windows games.
macOS 手柄设置	macOS Controller Settings
停止搜索	Stop Searching
搜索蓝牙手柄	Find Bluetooth Controllers
刷新	Refresh
手柄操作失败	Controller operation failed
游戏默认策略	Game Defaults
可在每个游戏中覆盖	Can be overridden per game
默认输入模式	Default Input Mode
自动（Wine / Steam Input）	Automatic (Wine / Steam Input)
增强兼容（SDL HIDAPI）	Enhanced (SDL HIDAPI)
默认启用震动	Enable rumble by default
增强模式会为 PlayStation、Switch 和通用 HID 手柄启用 SDL 兼容路径；游戏已有独立设置时，以游戏设置为准。	Enhanced mode enables SDL compatibility for PlayStation, Switch, and generic HID controllers. Per-game settings take priority.
还没有连接手柄	No controllers connected
先让手柄进入配对模式，再点击“搜索蓝牙手柄”；有线手柄连接后会自动出现。	Put your controller in pairing mode, then select Find Bluetooth Controllers. Wired controllers appear when connected.
打开系统设置	Open System Settings
已连接	Connected
玩家编号	Player
未分配	Unassigned
玩家 1	Player 1
玩家 2	Player 2
玩家 3	Player 3
玩家 4	Player 4
体感	Motion
测试震动	Test Rumble
无震动接口	Rumble unavailable
实时输入测试	Live Input Test
按下按键或移动摇杆…	Press a button or move a stick…
尚未连接手柄	No controller connected
正在搜索可发现的蓝牙手柄…	Searching for discoverable Bluetooth controllers…
没有发现新手柄	No new controllers found
搜索完成 · 已连接 %@ 个	Search complete · %@ connected
已取消玩家编号	Player assignment cleared
已分配给玩家 %@	Assigned to player %@
这个手柄没有向 macOS 提供震动能力	This controller does not expose rumble support to macOS
已向 %@ 发送震动测试	Rumble test sent to %@
震动测试失败：%@	Rumble test failed: %@
无法打开 macOS 游戏控制器设置	Unable to open macOS controller settings
已打开 macOS 游戏控制器设置	Opened macOS controller settings
手柄输入	Controller input
输入测试：%@	Input test: %@
游戏手柄 %@	Controller %@
扩展手柄 · 双摇杆与扳机	Extended gamepad · Dual sticks and triggers
标准手柄	Standard gamepad
通用控制器	Generic controller
充电中	Charging
使用电池	On battery
已充满	Fully charged
状态未知	Unknown status
手柄	Controller
欢迎来到 Mac Gaming Uncle	Welcome to Mac Gaming Uncle
准备好环境，登录 Steam，就可以开始玩了。	Set up your environment, sign in to Steam, and start playing.
1  安装游戏环境	1  Set Up Environment
2  登录 Steam	2  Sign In to Steam
环境已就绪，连接你的游戏库	Environment ready. Connect your library.
Steam 会在独立的官方窗口中完成登录。Mac Gaming Uncle 不收集你的密码或验证码。	Sign in through Steam's official window. Mac Gaming Uncle does not collect passwords or verification codes.
游戏环境安装完成	Game environment installed
登录后自动同步游戏库	Your library syncs after sign-in
正在为你准备游戏环境	Preparing your game environment
运行 Windows 游戏所需的指令转译	Instruction translation for Windows games
Wine 与手柄支持	Wine and Controller Support
Windows 兼容层与 SDL / XInput	Windows compatibility and SDL / XInput
备用图形兼容组件	Alternative graphics backend
Apple 图形组件 · 下载后自动校验并导入	Apple graphics components · Verified and imported automatically
仅首次需要安装。所有组件自动下载、校验并安装。Apple 组件保留其原始许可，仅用于非商业用途。	Required only on first setup. Components download, verify, and install automatically. Apple components retain their original license and noncommercial restrictions.
查看 Apple 组件许可	View Apple Component License
已完成的安装会保留。	Completed installations are retained.
重试并继续	Retry and Continue
已就绪	Ready
待安装	Pending
最近游玩	Recently Played
最近游玩：%@	Last played: %@
兼容性优秀	Excellent compatibility
云存档已同步	Cloud saves synced
Steam 待连接	Steam not connected
商店页面	Store Page
刷新游戏库	Refresh Library
开始游戏	Play
安装游戏	Install Game
最近活动	Recent Activity
上次运行	Last Launch
尚未运行	Not launched yet
查看商店动态	View Store News
成就	Achievements
%@ / %@ 已解锁	%@ / %@ unlocked
运行游戏后，Steam 成就进度会显示在这里。	Steam achievement progress appears here after you play.
成就数据来自本机 Steam 缓存	Achievement data comes from the local Steam cache
兼容性与设置	Compatibility and Settings
兼容层	Compatibility Layer
分辨率	Resolution
自动（推荐）	Automatic (Recommended)
增强兼容	Enhanced
自动	Automatic
管理游戏设置	Manage Game Settings
菜单	Menu
A 选择	A Select
B 返回	B Back
Mac Gaming Uncle 已就绪	Mac Gaming Uncle is ready
等待 Steam 游戏库	Waiting for your Steam library
Steam 登录后会自动同步游戏库，首次同步可能需要一些时间。	Your library syncs automatically after Steam sign-in. The first sync may take a little time.
同步游戏库	Sync Library
Steam 登录窗口	Steam Sign-in Window
最近解锁	Recently Unlocked
跟随全局	Use Global Default
已开启	Enabled
已关闭	Disabled
尚未游玩	Not played yet
%@ 分钟	%@ min
%.1f 小时	%.1f hours
独立游戏设置 · %@	Per-game settings · %@
恢复默认	Restore Defaults
取消	Cancel
保存	Save
显示	Display
使用 Wine 虚拟桌面	Use a Wine Virtual Desktop
为这个游戏创建固定尺寸的 Windows 桌面，可避免 Retina 缩放导致的画面拉伸和鼠标错位。	Create a fixed-size Windows desktop for this game to avoid stretching and pointer offsets from Retina scaling.
宽度	Width
高度	Height
像素	px
常用分辨率	Presets
图形	Graphics
渲染后端	Graphics Backend
同步方式	Synchronization
输入模式	Input Mode
启用手柄震动	Enable Controller Rumble
Xbox、PlayStation、Switch Pro 及标准 USB/蓝牙手柄由 macOS 检测，再交给 Wine；部分 Steam 游戏仍需在 Steam 中启用 Steam Input。	macOS detects Xbox, PlayStation, Switch Pro, and standard USB/Bluetooth controllers for Wine. Some games also need Steam Input enabled.
启动参数	Launch Arguments
每行一个参数；仅应用于这个游戏。	One argument per line. Applies only to this game.
跟随全局设置	Use Global Default
开启	On
关闭	Off
正在检查这台 Mac 的运行环境…	Checking this Mac's environment…
无法读取系统信息，请重新打开应用	Unable to read system information. Reopen the app.
正在安装 Apple Rosetta 2…	Installing Apple Rosetta 2…
正在下载并校验 Wine 与 SDL 手柄组件…	Downloading and verifying Wine and SDL controller support…
Wine 安装未完成	Wine installation is incomplete
正在安装 DXMT 图形兼容组件…	Installing DXMT graphics components…
正在自动下载 GPTK 4 图形组件…	Downloading GPTK 4 graphics components…
GPTK 安装未完成	GPTK installation is incomplete
环境已就绪，正在准备 Steam…	Environment ready. Preparing Steam…
Wine 尚未安装	Wine is not installed
正在从 Valve 官方下载并安装 Steam…	Downloading and installing Steam from Valve…
Steam 安装或更新，请检查网络后重试	Steam installation or update. Check your connection and retry.
Steam 基础安装已完成，正在下载客户端更新…	Steam setup complete. Downloading client updates…
Steam 客户端更新	Steam client update
Steam 登录组件不完整，请重试安装	Steam sign-in components are incomplete. Retry installation.
请在 Steam 官方窗口中扫码，或输入账号密码登录。登录成功后会自动进入游戏库。	Scan the QR code or sign in with your credentials in Steam's official window. Your library opens after sign-in.
Steam 登录，可点击重试重新打开登录窗口	Steam sign-in. Select Retry to reopen the sign-in window.
准备就绪	Ready
无法识别 Mac Gaming Uncle 链接：%@	Unrecognized Mac Gaming Uncle link: %@
Steam 游戏库中没有 AppID %@	AppID %@ was not found in the Steam library
正在安装 Mac Gaming Uncle Wine 11 开源运行环境…	Installing the Mac Gaming Uncle Wine 11 runtime…
这台 Mac 尚未通过环境检查，请打开高级设置查看原因	This Mac did not pass the environment check. See Advanced Settings for details.
正在下载并校验 Mac Gaming Uncle Wine 11…	Downloading and verifying Mac Gaming Uncle Wine 11…
游戏运行环境 %@ 已准备好	Game runtime %@ is ready
正在分析 %@…	Analyzing %@…
已导入 %@：%@ / %@	Imported %@: %@ / %@
正在扫描 Steam 游戏库…	Scanning the Steam library…
发现 %@ 个 Steam 游戏	Found %@ Steam games
正在从 Valve 官方 CDN 下载 Steam…	Downloading Steam from Valve's CDN…
请先准备 Mac Gaming Uncle Wine 11 开源运行环境	Install the Mac Gaming Uncle Wine 11 runtime first
请在 Wine 窗口中完成 Steam 安装…	Complete Steam installation in the Wine window…
Steam 安装流程已结束	Steam installation has finished
正在打开 Steam…	Opening Steam…
正在通过 Steam 启动游戏…	Launching the game through Steam…
尚未完成 Steam 安装	Steam installation is incomplete
Mac Gaming Uncle 缺少 Steam 界面兼容组件，请重新安装应用	Steam UI compatibility components are missing. Reinstall Mac Gaming Uncle.
Steam 正在运行；请登录并安装游戏	Steam is running. Sign in and install games.
游戏正在运行	Game is running
Steam 已打开，登录后自动同步游戏库	Steam is open. Your library syncs after sign-in.
正在为 %@ 选择最佳图形后端…	Selecting a graphics backend for %@…
需要 Mac Gaming Uncle Wine 11 游戏引擎，请重新运行环境准备	Mac Gaming Uncle Wine 11 is required. Run environment setup again.
正在快速检查游戏兼容性…	Checking game compatibility…
正在应用 Grim Dawn 1.3 HUD 兼容配置…	Applying Grim Dawn 1.3 HUD compatibility settings…
正在安装 %@ 所需的 DXMT 0.80…	Installing DXMT 0.80 for %@…
请先使用“一键安装 GPTK 4”导入 D3DMetal	Use Install GPTK 4 to prepare D3DMetal first
正在准备全局 Steam 会话…	Preparing the shared Steam session…
正在通过已登录的 Steam 启动 %@…	Launching %@ with your signed-in Steam session…
%@ 正在首次构建图形缓存，可能需要几分钟…	%@ is building its graphics cache for the first time. This may take a few minutes…
正在由 Steam 启动 %@ · %@ + %@%@	Launching through Steam: %@ · %@ + %@%@
尚未发现已安装的 Steam 游戏	No installed Steam games found
正在通过 Steam 安装游戏…	Installing the game through Steam…
Steam 商店暂时无法连接：%@	Steam Store is temporarily unavailable: %@
搜索失败：%@	Search failed: %@
正在交给 Steam 处理…	Sending the request to Steam…
正在验证并导入 Apple D3DMetal…	Verifying and importing Apple D3DMetal…
D3DMetal %@ 已导入	D3DMetal %@ imported
正在验证并导入 Wine…	Verifying and importing Wine…
Wine %@ 已导入	Wine %@ imported
正在导入 %@…	Importing %@…
%@ %@ 已导入	%@ %@ imported
正在准备 %@…	Preparing %@…
正在运行 %@…	Running %@…
游戏已退出：%@	Game exited: %@
分辨率必须在 640×480 到 7680×4320 之间	Resolution must be between 640×480 and 7680×4320
游戏设置已保存	Game settings saved
已取消 GPTK 安装	GPTK installation cancelled
正在从下载服务器安装 GPTK 4…	Installing GPTK 4 from the download server…
正在下载并校验 GPTK 4（约 26.5 MB）…	Downloading and verifying GPTK 4 (about 26.5 MB)…
正在验证 Apple 签名并安装 GPTK 4…	Verifying Apple's signature and installing GPTK 4…
下载的 D3DMetal 版本是 %@，不是 GPTK 4	Downloaded D3DMetal version %@ is not GPTK 4
GPTK 4 镜像缺少 D3DMetal Wine Bridge；请确认下载的是 Windows 游戏评估环境	The GPTK 4 image lacks the D3DMetal Wine bridge. Use the Windows game evaluation environment image.
正在安装支持现代 Steam 的 Mac Gaming Uncle Wine 11（约 50 MB）…	Installing Mac Gaming Uncle Wine 11 for modern Steam (about 50 MB)…
GPTK %@ 已验证并安装，可以启动游戏	GPTK %@ verified and installed. Ready to launch games.
操作失败	Operation failed
已同步 %@ 款账户游戏	Synced %@ account games
正在等待 Steam 写入账户游戏库…	Waiting for Steam to write the account library…
游戏库同步失败：%@	Library sync failed: %@
缺少 Steam 界面兼容组件	Steam UI compatibility components are missing
Steam 已接收请求	Steam received the request
特别优惠	Special Offers
新品推荐	New Releases
正在载入 Steam 商店…	Loading Steam Store…
商店暂时不可用	Store temporarily unavailable
无法取得 Steam 商店内容	Unable to load Steam Store content
重试	Retry
由 Steam 官方商店数据提供	Powered by official Steam Store data
精选	Featured
畅销	Top Sellers
优惠	Deals
新品	New
搜索 Steam 商店	Search Steam Store
搜索	Search
刷新商店	Refresh Store
STEAM 精选	STEAM FEATURED
添加并安装	Add and Install
查看详情	View Details
%@ 款	%@ titles
免费游玩	Free to Play
查看价格	View Price
搜索结果	Search Results
为你推荐	Recommended for You
热销商品	Top Sellers
Steam 安全页面	Secure Steam Page
登录、愿望单和购买直接由 store.steampowered.com 处理	Sign-in, wishlists, and purchases are handled by store.steampowered.com
选择一个游戏	Select a Game
%@ 款账户游戏 · %@ 款已安装	%@ account games · %@ installed
全部	All
最近玩过	Recently Played
搜索游戏库	Search Library
上次游玩 %@	Last played %@
安装	Install
登录 Steam 后，这里会显示你的游戏库	Sign in to Steam to see your library
Mac Gaming Uncle 从本机 Steam 缓存读取游戏与游玩记录，不上传账户数据。	Mac Gaming Uncle reads games and playtime from your local Steam cache. Account data is not uploaded.
打开 Steam 登录	Sign In to Steam
在浏览器打开	Open in Browser
在默认浏览器打开	Open in Default Browser
Mac Gaming Uncle 仅支持 Apple Silicon	Mac Gaming Uncle requires Apple Silicon
未检测到 Metal 设备	No Metal device detected
macOS 版本	macOS Version
运行 x86/x64 Windows 游戏前必须安装	Required to run x86/x64 Windows games
内存	Memory
%@ 退出，状态码 %@：%@	%@ exited with code %@: %@
操作超时：%@	Operation timed out: %@
数据库错误：%@	Database error: %@
GPTK 下载失败，请检查网络后重试	GPTK download failed. Check your connection and retry.
GPTK 下载未完成	GPTK download is incomplete
GPTK 安装包大小校验失败	GPTK installer size verification failed
GPTK 安装包 SHA-256 校验失败	GPTK installer SHA-256 verification failed
Steam 成就	Steam Achievements
Steam 游戏 %@	Steam Game %@
Bottle DXVK 安装器只接受 DXVK Overlay	The bottle DXVK installer only accepts DXVK overlays
DXVK Overlay 缺少 x64/x32 D3D11 DLL	The DXVK overlay is missing x64/x32 D3D11 DLLs
Bottle 名称不能为空	Bottle name cannot be empty
Bottle 目录已存在	Bottle directory already exists
Bottle 正在被另一个操作使用	Another operation is using this bottle
DXMT 下载失败	DXMT download failed
DXMT 制品尺寸不匹配	DXMT artifact size mismatch
DXMT 制品 SHA-256 不匹配	DXMT artifact SHA-256 mismatch
DXMT 压缩包缺少 Wine builtin Bridge	DXMT archive is missing the Wine builtin bridge
DXMT 压缩包包含越界路径：%@	DXMT archive contains an unsafe path: %@
DXVK-macOS 下载失败	DXVK-macOS download failed
DXVK-macOS 制品尺寸不匹配	DXVK-macOS artifact size mismatch
DXVK-macOS 制品 SHA-256 不匹配	DXVK-macOS artifact SHA-256 mismatch
DXVK-macOS 压缩包缺少 x64/x32 D3D11 DLL	DXVK-macOS archive is missing x64/x32 D3D11 DLLs
DXVK-macOS 压缩包包含越界路径：%@	DXVK-macOS archive contains an unsafe path: %@
本地 Mac Gaming Uncle Wine 11 构建不完整	The local Mac Gaming Uncle Wine 11 build is incomplete
手柄版 Wine 运行时缺少 SDL2 winebus 组件	The controller-enabled Wine runtime is missing SDL2 winebus
运行时目标目录已存在但元数据无效：%@	Runtime destination exists but metadata is invalid: %@
Mac Gaming Uncle Wine 11 运行环境不完整	The Mac Gaming Uncle Wine 11 runtime is incomplete
Mac Gaming Uncle Wine %@ 手柄增强引擎	Mac Gaming Uncle Wine %@ Controller Runtime
Mac Gaming Uncle Wine 11 手柄增强游戏引擎	Mac Gaming Uncle Wine 11 Controller Runtime
上游 Release 没有提供 SHA-256，拒绝自动安装	The upstream release has no SHA-256. Automatic installation was refused.
下载的 Wine 运行时缺少可执行文件	The downloaded Wine runtime has no executable
无法读取 Wine 上游 Release	Unable to read the upstream Wine release
上游最新 Release 没有 macOS x86_64 Wine Staging 制品	The latest upstream release has no macOS x86_64 Wine Staging artifact
Wine 下载地址不属于 GitHub	The Wine download URL is not hosted on GitHub
导入的 D3DMetal Wine Bridge 不完整	The imported D3DMetal Wine bridge is incomplete
GPTK %@ 缺少 MetalFX NVNGX Bridge	GPTK %@ is missing the MetalFX NVNGX bridge
GPTK %@ 缺少 %@	GPTK %@ is missing %@
无法定位 macOS 用户缓存目录	Unable to locate the macOS user cache directory
无法读取 macOS 用户缓存目录	Unable to read the macOS user cache directory
选择的 Apple GPTK 镜像中没有 D3DMetal.framework	The selected Apple GPTK image has no D3DMetal.framework
无法读取 GPTK 镜像挂载点	Unable to read the GPTK image mount point
D3DMetal 组件不是可验证的 Apple 签名产物	The D3DMetal component does not have a verifiable Apple signature
所选目录中没有 Wine 可执行文件	The selected directory has no Wine executable
首版只接受包含 x86_64 的 macOS Wine 运行时	This version requires a macOS Wine runtime with x86_64 support
复制后的 Wine 运行时不完整	The copied Wine runtime is incomplete
不支持的运行时清单版本	Unsupported runtime manifest version
运行时清单缺少有效签名	The runtime manifest has no valid signature
运行时清单签名验证失败	Runtime manifest signature verification failed
该渲染器不使用开源 DLL Overlay 导入	This renderer does not support open-source DLL overlay import
%@ Overlay 缺少：%@	%@ overlay is missing: %@
检测到内核级反作弊；Mac Gaming Uncle 不尝试绕过	Kernel-level anti-cheat detected. Mac Gaming Uncle does not bypass it.
VKD3D/MoltenVK 是实验性 DX12 路径	VKD3D/MoltenVK is an experimental DX12 backend
此 DX12 游戏需要 D3DMetal；请从 Apple 官方 GPTK 导入	This DX12 game requires D3DMetal. Install GPTK first.
